Date/Time,Generation,Best Fitness,Average Fitness,Average Score,High Score,Generation High Score
,,,,,,
[2022-12-06 19:51:57 ()],1,187.4886663,2.629840163,0.04,1,1
,,,,,,
[2022-12-06 19:52:02 ()],2,209.5328137,8.973032954,0.09,1,1
,,,,,,
[2022-12-06 19:52:06 ()],3,432,8.720702042,0.07,2,2
,,,,,,
[2022-12-06 19:52:10 ()],4,665.1075101,13.41529496,0.095,2,2
,,,,,,
[2022-12-06 19:52:15 ()],5,665.1075101,14.62190159,0.085,2,2
,,,,,,
[2022-12-06 19:52:20 ()],6,2896.309376,28.57105905,0.125,2,2
,,,,,,
[2022-12-06 19:52:25 ()],7,209.5328137,12.1161148,0.085,2,1
,,,,,,
[2022-12-06 19:52:29 ()],8,505.9644256,16.85886033,0.105,2,2
,,,,,,
[2022-12-06 19:52:34 ()],9,838.1312546,30.4285185,0.155,2,2
,,,,,,
[2022-12-06 19:52:39 ()],10,838.1312546,24.72460356,0.16,2,2
,,,,,,
[2022-12-06 19:52:43 ()],11,256,35.19489263,0.225,2,1
,,,,,,
[2022-12-06 19:52:48 ()],12,838.1312546,49.99228911,0.285,2,2
,,,,,,
[2022-12-06 19:52:53 ()],13,749.9546653,47.77994624,0.265,2,2
,,,,,,
[2022-12-06 19:52:59 ()],14,1881.208122,75.60008506,0.305,2,2
,,,,,,
[2022-12-06 19:53:03 ()],15,838.1312546,49.82995767,0.245,2,2
,,,,,,
[2022-12-06 19:53:09 ()],16,838.1312546,57.45736225,0.3,2,2
,,,,,,
[2022-12-06 19:53:14 ()],17,357.7708764,54.67864205,0.315,2,1
,,,,,,
[2022-12-06 19:53:19 ()],18,749.9546653,60.40787606,0.34,2,2
,,,,,,
[2022-12-06 19:53:23 ()],19,838.1312546,65.61004687,0.35,2,2
,,,,,,
[2022-12-06 19:53:28 ()],20,838.1312546,57.81802111,0.31,2,2
,,,,,,
[2022-12-06 19:53:33 ()],21,838.1312546,63.2005061,0.3,2,2
,,,,,,
[2022-12-06 19:53:38 ()],22,1885.795323,82.56293006,0.365,3,3
,,,,,,
[2022-12-06 19:53:44 ()],23,972,85.3436002,0.38,3,3
,,,,,,
[2022-12-06 19:53:48 ()],24,838.1312546,62.99772665,0.345,3,2
,,,,,,
[2022-12-06 19:53:54 ()],25,2244.737847,77.61691901,0.32,3,3
,,,,,,
